,번호,제목,본문,출판사
10,11,"HS효성, 호국보훈의 달 맞아 국가유공자에 생필품 전달","2015년부터 국가유공자 생필품 지원HS효성 출범 이후에도 사회공헌 지속



최형식 HS효성 상무(오른쪽)가 2일 서울남부보훈지청을 찾아 국가유공자에 '사랑의 생필품'을 전달한 뒤 염정림 서울남부보훈지청장과 기념 촬영을 하고 있다. /HS효성HS효성은 호국보훈의 달을 맞아 서울남부보훈지청을 방문해 국가유공자를 위한 '사랑의 생필품' 200세트를 전달했다고 2일 밝혔다.이번 나눔은 서울남부보훈지청에 등록된 국가유공자와 재가복지대상자 중 취약계층을 대상으로 진행됐다. 생필품은 고령 국가유공자의 건강과 편의를 고려해 쇠고기죽과 사골곰탕으로 구성됐다.'사랑의 생필품' 나눔은 지난 2015년 시작됐다. 지난해 7월 HS효성 출범 이후에도 그 뜻을 이어 나가며 지역사회에 온정을 나누고 있다.HS효성은 추후 국립서울현충원을 찾아 참배하고 묘역 정화 활동도 펼칠 예정이다.HS효성 관계자는 ""호국보훈의 달을 맞아 나라를 위해 헌신하신 국가유공자분들께 감사의 마음을 전하고자 나눔 활동을 이어가고 있다""며 ""앞으로도 기업의 사회적 책임을 다하며 지역사회와 함께 성장해 나가겠다""고 말했다.발로 뛰는 더팩트는 24시간 여러분의 제보를 기다립니다.▶카카오톡: '더팩트제보' 검색▶이메일: jebo@tf.co.kr▶뉴스 홈페이지: http://talk.tf.co.kr/bbs/report/write",더팩트
11,12,"HS효성, 호국보훈의 달 맞아 국가유공자에 '사랑의 생필품' 전달","HS효성이 2일 서울남부보훈지청을 찾아 국가유공자들에게 사랑의 생필품을 전달했다. 최형식 HS효성 상무(오른쪽)와 염정림 서울남부보훈지청장(왼쪽)./사진=HS효성 제공HS효성은 호국보훈의 달을 맞아 2일 서울남부보훈지청을 방문해 국가유공자를 위한 '사랑의 생필품' 200세트를 전달했다고 2일 밝혔다.이번 나눔은 서울남부보훈지청에 등록된 국가유공자·재가복지대상자 중 취약계층을 대상으로 진행됐다. 생필품은 고령 국가유공자의 건강과 편의를 고려해 쇠고기죽과 사골곰탕으로 구성됐다.2015년부터 시작된 '사랑의 생필품' 나눔은 지난해 7월 HS효성 출범 이후에도 그 뜻을 이어나가며 지역사회에 따뜻한 온정을 나누고 있다.HS효성 관계자는 ""호국보훈의 달을 맞아 나라를 위해 헌신하신 국가유공자분들께 감사의 마음을 전하고자 지속적인 나눔 활동을 이어가고 있다""며 ""앞으로도 기업의 사회적 책임을 다하며 지역사회와 함께 성장해 나가겠다""고 전했다.한편 HS효성은 이번 달 국립서울현충원을 찾아 참배하고 묘역정화 활동도 펼칠 예정이다.",머니투데이
12,13,"HS효성, 호국보훈의 달 맞아 국가유공자에 생필품 전달","2015년부터 11년간 국가유공자 지원



HS효성이 2일 서울남부보훈지청을 찾아 국가유공자들에게 사랑의 생필품을 전달한 뒤 최형식 HS효성 상무(오른쪽)와 염정림 서울남부보훈지청장 (왼쪽)이 기념촬영을 하고 있다. /HS효성[마이데일리 = 심지원 기자] HS효성이 호국보훈의 달을 맞아 서울남부보훈지청을 방문해 국가유공자를 위한 '사랑의 생필품' 200세트를 전달했다고 2일 밝혔다. 이번 나눔은 서울남부보훈지청에 등록된 국가유공자 및 재가복지대상자 중 취약계층을 대상으로 진행됐으며, 생필품은 고령 국가유공자의 건강과 편의를 고려해 쇠고기죽과 사골곰탕으로 구성됐다. 지난 2015년부터 시작된 사랑의 생필품 나눔은 지난해 7월 HS효성 출범 이후에도 그 뜻을 이어나가며 지역사회에 따뜻한 온정을 나누고 있다. HS효성 관계자는 ""호국보훈의 달을 맞아 나라를 위해 헌신하신 국가유공자분들께 감사의 마음을 전하고자 지속적인 나눔 활동을 이어가고 있다""며 ""앞으로도 기업의 사회적 책임을 다하며 지역사회와 함께 성장해 나갈 것""이라고 말했다. 한편 HS효성은 이달 중으로 국립서울현충원을 찾아 참배하고 묘역정화 활동을 펼칠 예정이다.",마이데일리
13,14,"HS효성, 호국보훈의 달 맞아 국가유공자에 '사랑의 생필품' 전달","HS효성이 2일 서울남부보훈지청을 찾아 국가유공자들에게 사랑의 생필품을 전달했다. 최형식 HS효성 상무(오른쪽)와 염정림 서울남부보훈지청장. HS효성HS효성은 호국보훈의 달을 맞아 서울남부보훈지청을 방문해 국가유공자를 위한 '사랑의 생필품' 200세트를 전달했다고 2일 밝혔따.이번 나눔은 서울남부보훈지청에 등록된 국가유공자 및 재가복지대상자 중 취약계층을 대상으로 진행됐으며 생필품은 고령 국가유공자의 건강과 편의를 고려해 쇠고기죽과 사골곰탕으로 구성됐다.지난 2015년부터 시작된 '사랑의 생필품' 나눔은 지난해 7월 HS효성 출범 이후에도 그 뜻을 이어나가며 지역사회에 따뜻한 온정을 나누고 있다.HS효성 관계자는 “호국보훈의 달을 맞아 나라를 위해 헌신하신 국가유공자분들께 감사의 마음을 전하고자 지속적인 나눔 활동을 이어가고 있다”며 “앞으로도 기업의 사회적 책임을 다하며 지역사회와 함께 성장해 나가겠다”고 전했다.한편, HS효성은 이번 달 국립서울현충원을 찾아 참배하고 묘역정화 활동도 펼칠 예정이다.",전자신문
14,15,"HS효성, 호국보훈의 달 국가유공자에 ‘사랑의 생필품’ 전달","11년간 국가유공자 지원 이어와[이데일리 김은경 기자] HS효성(487570)은 호국보훈의 달을 맞아 2일 서울남부보훈지청을 방문해 국가유공자를 위한 ‘사랑의 생필품’ 200세트를 전달했다고 밝혔다.이번 나눔은 서울남부보훈지청에 등록된 국가유공자 및 재가복지대상자 중 취약계층을 대상으로 진행했다. 생필품은 고령 국가유공자의 건강과 편의를 고려해 쇠고기죽과 사골곰탕으로 구성했다.2015년부터 시작된 ‘사랑의 생필품’ 나눔은 지난해 7월 HS효성 출범 이후에도 그 뜻을 이어나가며 지역사회에 따뜻한 온정을 나누고 있다.HS효성 관계자는 “호국보훈의 달을 맞아 나라를 위해 헌신하신 국가유공자분들께 감사의 마음을 전하고자 지속적인 나눔 활동을 이어가고 있다”며 “앞으로도 기업의 사회적 책임을 다하며 지역사회와 함께 성장해 나가겠다”고 전다.한편 HS효성은 이번 달 국립서울현충원을 찾아 참배하고 묘역정화 활동도 펼칠 예정이다.



최형식 HS효성 상무(오른쪽)가 2일 서울남부보훈지청을 찾아 국가유공자들에게 사랑의 생필품을 전달한 뒤 염정림 서울남부보훈지청장과 기념촬영하고 있다.(사진=HS효성)",이데일리
15,16,"옥천군, 장애인·국가유공자 정보통신기기 구입비 지원","옥천군청 *재판매 및 DB 금지[옥천=뉴시스]연종영 기자 = 충북 옥천군은 장애인과 국가유공자에게 정보통신기기 구입비의 80~90%를 지원한다고 2일 밝혔다.등록 장애인과 상이등급 판정을 받은 국가유공자 중 옥천군에 주민등록이 있는 군민이 수혜 대상이다.군이 보급할 기기는 시각장애인용 62종, 지체·뇌병변 장애인용 23종, 청각·언어장애인용 45종 등 총 130종이다.군은 기기 구입 비용의 80%까지 보조하고, 신청자 본인부담금은 나머지 20%다. 기초생활수급자와 차상위계층은 본인부담금의 절반을 추가 지원 받을 수 있다.군은 ‘2025년 정보통신보조기기 보급’ 사업 신청을 이달 23일까지 접수한다.",뉴시스
16,17,"한마음봉사단, 독립유공자 2세대 도배 등 주택환경 정비","법무부 청소년 범죄예방위원 경주지역협의회 한마음봉사단이 경북남부보훈지청과 함께 독립유공자 후손들의 주거환경 개선 봉사활동을 실시했다고 4일 밝혔다. (한마음봉사단제공, 제판매 및 DB 금지) 2025.6.4/뉴스1 (경주=뉴스1) 최창호 기자 = 법무부 청소년범죄예방위원 경주지역협의회 한마음봉사단이 경북남부보훈지청과 함께 독립유공자 후손들의 주거환경 개선 봉사활동을 실시했다고 4일 밝혔다.한마음봉사단은 만주와 국내를 오가며 군자금을 모으고 의열 활동을 펼치며 일제에 맞선 김종철 선생과 3.1운동 이후 경북 의성에서 만세운동과 경찰주재소 습격으로 옥고를 치른 박수영 선생의 유족이 살고 있는 주택에서 도배와 누수방지 등의 공사를 진행했다.한마음 봉사단은 건축 분야 기술자들로 구성돼 국가유공자와 범죄피해자, 청소년 가정 등을 대상으로 집수리 봉사활동을 펼치고 있다.김정석 한마음봉사단장은 ""광복 80주년을 맞아 독립을 위해 싸우신 분들의 뜻을 되새기고 유족분들이 보다 쾌적한 환경에서 생활하시길 바라는 마음에서 봉사활동을 실시했다""고 말했다.",뉴스1
17,18,"[게시판] HS효성, 호국보훈의 달 맞아 국가유공자에 생필품 전달","HS효성 최형식 상무(오른쪽)와 염정림 서울남부보훈지청장. [HS효성 제공. 재판매 및 DB 금지]    ▲ HS효성은 호국보훈의 달을 맞아 2일 서울남부보훈지청을 방문해 국가유공자를 위한 '사랑의 생필품' 200세트를 전달했다. 국가유공자 및 재가복지대상자 중 취약계층을 대상으로 나눔을 진행했으며, 생필품은 고령 국가유공자의 건강과 편의를 고려해 쇠고기죽과 사골곰탕으로 구성했다. (서울=연합뉴스)",연합뉴스
18,19,"HS효성, 호국보훈의 달 맞아 국가유공자에 생필품 전달","2015년부터 국가유공자 생필품 지원HS효성 출범 이후에도 사회공헌 지속



최형식 HS효성 상무(오른쪽)가 2일 서울남부보훈지청을 찾아 국가유공자에 '사랑의 생필품'을 전달한 뒤 염정림 서울남부보훈지청장과 기념 촬영을 하고 있다. /HS효성HS효성은 호국보훈의 달을 맞아 서울남부보훈지청을 방문해 국가유공자를 위한 '사랑의 생필품' 200세트를 전달했다고 2일 밝혔다.이번 나눔은 서울남부보훈지청에 등록된 국가유공자와 재가복지대상자 중 취약계층을 대상으로 진행됐다. 생필품은 고령 국가유공자의 건강과 편의를 고려해 쇠고기죽과 사골곰탕으로 구성됐다.'사랑의 생필품' 나눔은 지난 2015년 시작됐다. 지난해 7월 HS효성 출범 이후에도 그 뜻을 이어 나가며 지역사회에 온정을 나누고 있다.HS효성은 추후 국립서울현충원을 찾아 참배하고 묘역 정화 활동도 펼칠 예정이다.HS효성 관계자는 ""호국보훈의 달을 맞아 나라를 위해 헌신하신 국가유공자분들께 감사의 마음을 전하고자 나눔 활동을 이어가고 있다""며 ""앞으로도 기업의 사회적 책임을 다하며 지역사회와 함께 성장해 나가겠다""고 말했다.발로 뛰는 더팩트는 24시간 여러분의 제보를 기다립니다.▶카카오톡: '더팩트제보' 검색▶이메일: jebo@tf.co.kr▶뉴스 홈페이지: http://talk.tf.co.kr/bbs/report/write",더팩트
19,20,"HS효성, 호국보훈의 달 맞아 국가유공자에 '사랑의 생필품' 전달","HS효성이 2일 서울남부보훈지청을 찾아 국가유공자들에게 사랑의 생필품을 전달했다. 최형식 HS효성 상무(오른쪽)와 염정림 서울남부보훈지청장(왼쪽)./사진=HS효성 제공HS효성은 호국보훈의 달을 맞아 2일 서울남부보훈지청을 방문해 국가유공자를 위한 '사랑의 생필품' 200세트를 전달했다고 2일 밝혔다.이번 나눔은 서울남부보훈지청에 등록된 국가유공자·재가복지대상자 중 취약계층을 대상으로 진행됐다. 생필품은 고령 국가유공자의 건강과 편의를 고려해 쇠고기죽과 사골곰탕으로 구성됐다.2015년부터 시작된 '사랑의 생필품' 나눔은 지난해 7월 HS효성 출범 이후에도 그 뜻을 이어나가며 지역사회에 따뜻한 온정을 나누고 있다.HS효성 관계자는 ""호국보훈의 달을 맞아 나라를 위해 헌신하신 국가유공자분들께 감사의 마음을 전하고자 지속적인 나눔 활동을 이어가고 있다""며 ""앞으로도 기업의 사회적 책임을 다하며 지역사회와 함께 성장해 나가겠다""고 전했다.한편 HS효성은 이번 달 국립서울현충원을 찾아 참배하고 묘역정화 활동도 펼칠 예정이다.",머니투데이
20,21,"HS효성, 호국보훈의 달 맞아 국가유공자에 생필품 전달","2015년부터 11년간 국가유공자 지원



HS효성이 2일 서울남부보훈지청을 찾아 국가유공자들에게 사랑의 생필품을 전달한 뒤 최형식 HS효성 상무(오른쪽)와 염정림 서울남부보훈지청장 (왼쪽)이 기념촬영을 하고 있다. /HS효성[마이데일리 = 심지원 기자] HS효성이 호국보훈의 달을 맞아 서울남부보훈지청을 방문해 국가유공자를 위한 '사랑의 생필품' 200세트를 전달했다고 2일 밝혔다. 이번 나눔은 서울남부보훈지청에 등록된 국가유공자 및 재가복지대상자 중 취약계층을 대상으로 진행됐으며, 생필품은 고령 국가유공자의 건강과 편의를 고려해 쇠고기죽과 사골곰탕으로 구성됐다. 지난 2015년부터 시작된 사랑의 생필품 나눔은 지난해 7월 HS효성 출범 이후에도 그 뜻을 이어나가며 지역사회에 따뜻한 온정을 나누고 있다. HS효성 관계자는 ""호국보훈의 달을 맞아 나라를 위해 헌신하신 국가유공자분들께 감사의 마음을 전하고자 지속적인 나눔 활동을 이어가고 있다""며 ""앞으로도 기업의 사회적 책임을 다하며 지역사회와 함께 성장해 나갈 것""이라고 말했다. 한편 HS효성은 이달 중으로 국립서울현충원을 찾아 참배하고 묘역정화 활동을 펼칠 예정이다.",마이데일리
21,22,"HS효성, 호국보훈의 달 맞아 국가유공자에 '사랑의 생필품' 전달","HS효성이 2일 서울남부보훈지청을 찾아 국가유공자들에게 사랑의 생필품을 전달했다. 최형식 HS효성 상무(오른쪽)와 염정림 서울남부보훈지청장. HS효성HS효성은 호국보훈의 달을 맞아 서울남부보훈지청을 방문해 국가유공자를 위한 '사랑의 생필품' 200세트를 전달했다고 2일 밝혔따.이번 나눔은 서울남부보훈지청에 등록된 국가유공자 및 재가복지대상자 중 취약계층을 대상으로 진행됐으며 생필품은 고령 국가유공자의 건강과 편의를 고려해 쇠고기죽과 사골곰탕으로 구성됐다.지난 2015년부터 시작된 '사랑의 생필품' 나눔은 지난해 7월 HS효성 출범 이후에도 그 뜻을 이어나가며 지역사회에 따뜻한 온정을 나누고 있다.HS효성 관계자는 “호국보훈의 달을 맞아 나라를 위해 헌신하신 국가유공자분들께 감사의 마음을 전하고자 지속적인 나눔 활동을 이어가고 있다”며 “앞으로도 기업의 사회적 책임을 다하며 지역사회와 함께 성장해 나가겠다”고 전했다.한편, HS효성은 이번 달 국립서울현충원을 찾아 참배하고 묘역정화 활동도 펼칠 예정이다.",전자신문
22,23,"HS효성, 호국보훈의 달 국가유공자에 ‘사랑의 생필품’ 전달","11년간 국가유공자 지원 이어와[이데일리 김은경 기자] HS효성(487570)은 호국보훈의 달을 맞아 2일 서울남부보훈지청을 방문해 국가유공자를 위한 ‘사랑의 생필품’ 200세트를 전달했다고 밝혔다.이번 나눔은 서울남부보훈지청에 등록된 국가유공자 및 재가복지대상자 중 취약계층을 대상으로 진행했다. 생필품은 고령 국가유공자의 건강과 편의를 고려해 쇠고기죽과 사골곰탕으로 구성했다.2015년부터 시작된 ‘사랑의 생필품’ 나눔은 지난해 7월 HS효성 출범 이후에도 그 뜻을 이어나가며 지역사회에 따뜻한 온정을 나누고 있다.HS효성 관계자는 “호국보훈의 달을 맞아 나라를 위해 헌신하신 국가유공자분들께 감사의 마음을 전하고자 지속적인 나눔 활동을 이어가고 있다”며 “앞으로도 기업의 사회적 책임을 다하며 지역사회와 함께 성장해 나가겠다”고 전다.한편 HS효성은 이번 달 국립서울현충원을 찾아 참배하고 묘역정화 활동도 펼칠 예정이다.



최형식 HS효성 상무(오른쪽)가 2일 서울남부보훈지청을 찾아 국가유공자들에게 사랑의 생필품을 전달한 뒤 염정림 서울남부보훈지청장과 기념촬영하고 있다.(사진=HS효성)",이데일리
23,24,"옥천군, 장애인·국가유공자 정보통신기기 구입비 지원","옥천군청 *재판매 및 DB 금지[옥천=뉴시스]연종영 기자 = 충북 옥천군은 장애인과 국가유공자에게 정보통신기기 구입비의 80~90%를 지원한다고 2일 밝혔다.등록 장애인과 상이등급 판정을 받은 국가유공자 중 옥천군에 주민등록이 있는 군민이 수혜 대상이다.군이 보급할 기기는 시각장애인용 62종, 지체·뇌병변 장애인용 23종, 청각·언어장애인용 45종 등 총 130종이다.군은 기기 구입 비용의 80%까지 보조하고, 신청자 본인부담금은 나머지 20%다. 기초생활수급자와 차상위계층은 본인부담금의 절반을 추가 지원 받을 수 있다.군은 ‘2025년 정보통신보조기기 보급’ 사업 신청을 이달 23일까지 접수한다.",뉴시스
