C1_NM,C2_NM,DT,연도
50대,재산소득,173.0,2024
50대,사적이전소득,26.0,2024
50대,공적이전소득,1314.0,2024
60대,전체(경상소득),3530.0,2024
60대,근로소득,1076.0,2024
60대,사업소득,386.0,2024
60대,재산소득,175.0,2024
60대,사적이전소득,92.0,2024
60대,공적이전소득,1801.0,2024
70대,전체(경상소득),2585.0,2024
70대,근로소득,229.0,2024
70대,사업소득,172.0,2024
70대,재산소득,209.0,2024
70대,사적이전소득,120.0,2024
70대,공적이전소득,1855.0,2024
80대 이상,전체(경상소득),2028.0,2024
80대 이상,근로소득,39.0,2024
80대 이상,사업소득,69.0,2024
80대 이상,재산소득,161.0,2024
80대 이상,사적이전소득,153.0,2024
80대 이상,공적이전소득,1607.0,2024
독립유공자,전체(경상소득),2576.0,2024
독립유공자,근로소득,278.0,2024
독립유공자,사업소득,159.0,2024
독립유공자,재산소득,139.0,2024
독립유공자,사적이전소득,115.0,2024
독립유공자,공적이전소득,1884.0,2024
국가유공자(본인),전체(경상소득),3884.0,2024
국가유공자(본인),근로소득,958.0,2024
국가유공자(본인),사업소득,206.0,2024
국가유공자(본인),재산소득,229.0,2024
국가유공자(본인),사적이전소득,66.0,2024
국가유공자(본인),공적이전소득,2425.0,2024
국가유공자(유족),전체(경상소득),2441.0,2024
국가유공자(유족),근로소득,608.0,2024
국가유공자(유족),사업소득,284.0,2024
국가유공자(유족),재산소득,165.0,2024
국가유공자(유족),사적이전소득,125.0,2024
국가유공자(유족),공적이전소득,1261.0,2024
5·18민주유공자,전체(경상소득),2424.0,2024
5·18민주유공자,근로소득,953.0,2024
5·18민주유공자,사업소득,455.0,2024
5·18민주유공자,재산소득,102.0,2024
5·18민주유공자,사적이전소득,122.0,2024
5·18민주유공자,공적이전소득,793.0,2024
참전유공자,전체(경상소득),2055.0,2024
참전유공자,근로소득,182.0,2024
참전유공자,사업소득,131.0,2024
참전유공자,재산소득,168.0,2024
참전유공자,사적이전소득,151.0,2024
참전유공자,공적이전소득,1423.0,2024
고엽제,전체(경상소득),2422.0,2024
고엽제,근로소득,148.0,2024
고엽제,사업소득,177.0,2024
고엽제,재산소득,126.0,2024
고엽제,사적이전소득,141.0,2024
고엽제,공적이전소득,1830.0,2024
특수임무유공자,전체(경상소득),2948.0,2024
특수임무유공자,근로소득,1861.0,2024
특수임무유공자,사업소득,489.0,2024
특수임무유공자,재산소득,79.0,2024
특수임무유공자,사적이전소득,95.0,2024
특수임무유공자,공적이전소득,424.0,2024
제대군인,전체(경상소득),4613.0,2024
제대군인,근로소득,2769.0,2024
제대군인,사업소득,462.0,2024
제대군인,재산소득,121.0,2024
제대군인,사적이전소득,62.0,2024
제대군인,공적이전소득,1198.0,2024
보훈보상대상자,전체(경상소득),3745.0,2024
보훈보상대상자,근로소득,2007.0,2024
보훈보상대상자,사업소득,398.0,2024
보훈보상대상자,재산소득,112.0,2024
보훈보상대상자,사적이전소득,41.0,2024
보훈보상대상자,공적이전소득,1187.0,2024
