,C1_OBJ_NM,C2_NM,DT,C1_NM,UNIT_NM,ITM_NM,C2_OBJ_NM,TBL_NM
23,특성별,공적이전소득,640,40대 이하,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
24,특성별,전체(경상소득),4687,50대,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
25,특성별,근로소득,2460,50대,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
26,특성별,사업소득,697,50대,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
27,특성별,재산소득,147,50대,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
28,특성별,사적이전소득,23,50대,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
29,특성별,공적이전소득,1359,50대,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
30,특성별,전체(경상소득),3009,60대,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
31,특성별,근로소득,723,60대,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
32,특성별,사업소득,426,60대,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
33,특성별,재산소득,159,60대,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
34,특성별,사적이전소득,59,60대,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
35,특성별,공적이전소득,1641,60대,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
36,특성별,전체(경상소득),2115,70대,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
37,특성별,근로소득,236,70대,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
38,특성별,사업소득,264,70대,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
39,특성별,재산소득,161,70대,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
40,특성별,사적이전소득,82,70대,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
41,특성별,공적이전소득,1373,70대,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
42,특성별,전체(경상소득),1359,80대 이상,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
43,특성별,근로소득,35,80대 이상,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
44,특성별,사업소득,18,80대 이상,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
45,특성별,재산소득,121,80대 이상,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
46,특성별,사적이전소득,186,80대 이상,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
47,특성별,공적이전소득,1000,80대 이상,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
48,특성별,전체(경상소득),2622,독립유공자,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
49,특성별,근로소득,473,독립유공자,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
50,특성별,사업소득,99,독립유공자,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
51,특성별,재산소득,408,독립유공자,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
52,특성별,사적이전소득,112,독립유공자,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
53,특성별,공적이전소득,1530,독립유공자,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
54,특성별,전체(경상소득),4253,국가유공자(본인),만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
55,특성별,근로소득,1634,국가유공자(본인),만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
56,특성별,사업소득,484,국가유공자(본인),만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
57,특성별,재산소득,164,국가유공자(본인),만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
58,특성별,사적이전소득,57,국가유공자(본인),만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
59,특성별,공적이전소득,1914,국가유공자(본인),만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
60,특성별,전체(경상소득),2026,국가유공자(유족),만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
61,특성별,근로소득,521,국가유공자(유족),만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
62,특성별,사업소득,249,국가유공자(유족),만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
63,특성별,재산소득,108,국가유공자(유족),만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
64,특성별,사적이전소득,103,국가유공자(유족),만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
65,특성별,공적이전소득,1044,국가유공자(유족),만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
66,특성별,전체(경상소득),3066,5·18민주유공자,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
67,특성별,근로소득,1713,5·18민주유공자,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
68,특성별,사업소득,732,5·18민주유공자,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
69,특성별,재산소득,176,5·18민주유공자,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
70,특성별,사적이전소득,85,5·18민주유공자,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
71,특성별,공적이전소득,360,5·18민주유공자,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
72,특성별,전체(경상소득),1838,참전유공자,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
73,특성별,근로소득,205,참전유공자,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
74,특성별,사업소득,227,참전유공자,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
75,특성별,재산소득,153,참전유공자,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
76,특성별,사적이전소득,120,참전유공자,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
77,특성별,공적이전소득,1133,참전유공자,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
78,특성별,전체(경상소득),2301,고엽제,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
79,특성별,근로소득,216,고엽제,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
80,특성별,사업소득,214,고엽제,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
81,특성별,재산소득,105,고엽제,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
82,특성별,사적이전소득,76,고엽제,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
83,특성별,공적이전소득,1690,고엽제,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
84,특성별,전체(경상소득),3274,특수임무유공자,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
85,특성별,근로소득,2076,특수임무유공자,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
86,특성별,사업소득,368,특수임무유공자,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
87,특성별,재산소득,126,특수임무유공자,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
88,특성별,사적이전소득,84,특수임무유공자,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
89,특성별,공적이전소득,620,특수임무유공자,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
90,특성별,전체(경상소득),4606,제대군인,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
91,특성별,근로소득,2304,제대군인,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
92,특성별,사업소득,370,제대군인,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
93,특성별,재산소득,95,제대군인,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
94,특성별,사적이전소득,47,제대군인,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
95,특성별,공적이전소득,1789,제대군인,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
96,특성별,전체(경상소득),3066,보훈보상대상자,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
97,특성별,근로소득,1476,보훈보상대상자,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
98,특성별,사업소득,405,보훈보상대상자,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
99,특성별,재산소득,39,보훈보상대상자,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
100,특성별,사적이전소득,54,보훈보상대상자,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
101,특성별,공적이전소득,1092,보훈보상대상자,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
